institution,count
Chinese Academy of Sciences,1880
Huazhong University of Science and Technology,1869
University of California,1379
NSW,1352
National Institutes of Health,1197
The University of Hong Kong,1045
University of Washington,897
Zhejiang University,779
Fudan University,752
University of Oxford,750
Harvard Medical School,704
Chinese Academy of Agricultural Sciences,659
Wuhan University,648
University of Toronto,597
University of Pennsylvania,573
Capital Medical University,544
The Chinese University of Hong Kong,533
University of Michigan,504
University of Minnesota,459
Zhongnan Hospital of Wuhan University,449
Imperial College London,448
National University of Singapore,436
Sichuan University,427
Ministry of Health,423
Stanford University,420
Columbia University,418
Mayo Clinic,418
Tsinghua University,389
The Ohio State University,385
Huazhong Agricultural University,380
University College London,376
National Institute for Viral Disease Control and Prevention,372
National Institute of Infectious Diseases,372
Central South University,369
Renmin Hospital of Wuhan University,364
National Taiwan University,343
Peking University,343
Utrecht University,339
CNRS,334
China Agricultural University,324
University of Amsterdam,323
Fred Hutchinson Cancer Research Center,321
Hong Kong Special Administrative Region,302
Massachusetts General Hospital,297
University of Liverpool,297
Southern Medical University,297
University of Edinburgh,289
King's College London,289
University of California San Francisco,286
Nanjing Agricultural University,285
University of Cambridge,284
Guangzhou Medical University,278
Iowa State University,276
University of Georgia,275
The University of Queensland,273
University of Florida,263
Chinese Academy of Medical Sciences and Peking Union Medical College,256
University of Maryland,256
King Saud University,255
Sichuan Agricultural University,255
London School of Hygiene & Tropical Medicine,253
Stanford University School of Medicine,250
Leiden University Medical Center,248
Northeast Agricultural University,246
South China Agricultural University,245
Sapienza University of Rome,244
Ghent University,241
Cornell University,237
Kansas State University,235
Emory University,234
University of Milan,233
Johns Hopkins University,232
University of Zurich,230
Baylor College of Medicine,230
University of São Paulo,228
Shanghai Jiao Tong University,227
Jilin University,225
Seoul National University,225
Michigan State University,224
Sun Yat-sen University,224
Colorado State University,223
Institut Pasteur,223
The Scripps Research Institute,221
University of North Carolina at Chapel Hill,220
Tehran University of Medical Sciences,219
Public Health England,216
IHU-Méditerranée Infection,213
Academy of Military Medical Sciences,213
China Medical University,210
University of British Columbia,207
The University of Melbourne,206
Columbia University Irving Medical Center,205
University of Hong Kong,204
University of Bologna,203
University of Illinois at Chicago,202
Arizona State University,200
Vanderbilt University Medical Center,200
University of Utah,198
Shahid Beheshti University of Medical Sciences,198
University of Guelph,198
